Genre_es,Español,Genre_fr,Français,Catégorie,Détails
,juez,,juge,Métier,
,abogada,,avocat,Métier,
,enfermero,,infirmier,Métier,
,especialista,,specialiste,Métier,
,conductor / conductora,,conducteur,Métier,
,sacerdote,,prêtre,Métier,
,carpintero / carpintera,,"menuisier, charpentier",Métier,
,trabajador,,travailleur,Métier,
,docente,,enseignant,Métier,
,agento,,agent,Métier,
,pintor,,peintre,Métier,
,jueve,,Juge,Métier,
la,agricultura,,l’agriculture,Métier,
el,ritmo,,le rythme,Musique,
el,estilo,,le style,Musique,
el,violin,,le violon,Musique,
la,flauta,,la flûte,Musique,
el,concierto,,le concert,Musique,
el,sonido,,le son,Musique,
el,instrumento,,l’instrument,Musique,
la,ópera,,l’opéra,Musique,
la,orquesta,,l’orchestre,Musique,
la,bateria,,La batterie,Musique,
la,playa,,plage,Nom,
la,puerta,,door,Nom,
el,periódico,,newspaper,Nom,
,cumpleaños,,birthday,Nom,
,ayuda,,aide,Nom,
el,pueblos ,,towns,Nom,
la,oficina,,office,Nom,
la,fábrica,,factory,Nom,
el,hospital,,hospital,Nom,
el,fútbol,,soccer,Nom,
los,hijos,,children,Nom,
el,regalo,,gift,Nom,
el,médico,,doctor,Nom,médica féminin
el,camarero / camarera,,waiter,Nom,camarera féminin
la,comida,,food,Nom,
el,pollo,,chicken,Nom,
la,flor / flores,,flowers,Nom,
la,decisión,,decision,Nom,
el,almuerzo,,lunch,Nom,
,Alemania,,Germany,Nom,
,pájaro,,bird,Nom,
,Fresa ,,Fraise,Nourriture,
,Suecia,,Sweden,Pays,
,"Ana, este es tu periodíco",,"Ana, is this newspaper",Phrase,
,Puedes ir a buscar ,,Can you go look for,Phrase,
la,ley,,La loi,Politique,
la,elecciones,,Les élections / choix,Politique,
la,guerra,,La guerre,Politique,
la,sociedad,,La société,Politique,
el,presidente,,Le président,Politique,
el,gobierno,,Le gouvernement,Politique,
el,político / politica,,Le politicien / la politique,Politique,
la,justicia,,La justice,Politique,
el,congreso,,Le congrès,Politique,
el,ministerio,,Le ministère,Politique,
la,administración,,L’administration,Politique,
el,rey,,Le roi,Politique,
el,principe,,Le prince,Politique,
la,campaña,,La campagne,Politique,
la,democracia,,La démocratie,Politique,
la,reina,,La reine,Politique,
la,república,,La république,Politique,
la,oposición,,L’opposition,Politique,
,socialista,,socialiste,Politique,
el,alcalde,,Le maire,Politique,
el,líder,,Le leader,Politique,
la,constitución,,La constitution,Politique,
el,discurso,,Le discours,Politique,
la,declaración,,La déclaration,Politique,
la,presidencia,,La présidence,Politique,
,federal,,Fédéral,Politique,
el,presupuesto,,Le budget,Politique,
,Candidato / Candidata,,Candidat / Candidate,Politique,
el,gobernador,,Le gouverneur,Politique,
la,corrupción,,La corruption,Politique,
la,federación,,La fédération,Politique,
la,cooperación,,La coopération,Politique,
la,independencia,,L’indépendance,Politique,
,acuerdo,,accord,Politique,
el,ejército,,l’armée,Politique,
la,riqueza,,la richesse,Politique,
la,dictadura,,la dictature,Politique,
el,imperio,,l’empire,Politique,
la,pobreza,,la pauvreté,Politique,
la,estabilidad,,la stabilité,Politique,
la,legislación,,la législation,Politique,
,electoral,,électorale,Politique,
el,comandante,,le comandant,Politique,
el,coronel,,le colonel,Politique,
el,proceso,,le processus,Politique,
,senador / senadora,,sénateur / sénatrice,Politique,
el,impuesto,,l’impôt,Politique,
la,manifestación,,la manifestation,Politique,
la,embajadora,,l’embassadrice,Politique,
,"yo, tu, él ella, nosotros, vosotros, ellos",,"I, you, he, we, you all, they",Pronom,
,ustedes,,you all,Pronom,
,gordo,,fat,Qualificatif,
,delgada / delgado,,thinner,Qualificatif,
,peor,,Le pire,Qualificatif,
,popular,,popular,Qualificatif,
,adecuado / adecuada,,adéquat / adéquate,Qualificatif,
,vivo / viva,,vivant / vivante,Qualificatif,
,negativo / negativa,,négatif / négative,Qualificatif,
